Activity	activity
AlertCircle	alert-circle
AlertTriangle	alert-triangle
AlignLeft	align-left
Archive	archive
ArrowLeft	arrow-left
ArrowRight	arrow-right
ArrowUpDown	arrow-up-down
ArrowUpRight	arrow-up-right
AtSign	at-sign
Ban	ban
BarChart3	bar-chart3
Beaker	beaker
Bell	bell
Bold	bold
Box	box
Building	building
Building2	building2
Calendar	calendar
CalendarClock	calendar-clock
Check	check
CheckCheck	check-check
CheckCircle	check-circle
CheckCircle2	check-circle2
ChevronDown	chevron-down
ChevronLeft	chevron-left
ChevronRight	chevron-right
ChevronUp	chevron-up
ChevronsUpDown	chevrons-up-down
Circle	circle
ClipboardCheck	clipboard-check
Clock	clock
Code	code
Construction	construction
Copy	copy
CornerDownRight	corner-down-right
CreditCard	credit-card
DollarSign	dollar-sign
Download	download
ExternalLink	external-link
Eye	eye
EyeOff	eye-off
FileCheck	file-check
FileEdit	file-edit
FileSearch	file-search
FileSpreadsheet	file-spreadsheet
FileText	file-text
Filter	filter
FlaskConical	flask-conical
FolderKanban	folder-kanban
FolderOpen	folder-open
GitMerge	git-merge
Globe	globe
Grid3x3	grid3x3
GripVertical	grip-vertical
Hash	hash
HelpCircle	help-circle
Image	image
Inbox	inbox
Info	info
Italic	italic
Layers	layers
Lightbulb	lightbulb
Link2	link2
List	list
ListOrdered	list-ordered
Loader2	loader2
Lock	lock
LogIn	log-in
LogOut	log-out
Mail	mail
MapPin	map-pin
Maximize	maximize
Maximize2	maximize2
Menu	menu
MessageSquare	message-square
Minimize2	minimize2
Minus	minus
MoreHorizontal	more-horizontal
MoreVertical	more-vertical
Package	package
Palette	palette
PanelLeftClose	panel-left-close
PanelLeftOpen	panel-left-open
Paperclip	paperclip
PauseCircle	pause-circle
PenLine	pen-line
Pencil	pencil
Phone	phone
Play	play
Plug	plug
Plus	plus
Printer	printer
Receipt	receipt
Redo2	redo2
RefreshCw	refresh-cw
RotateCcw	rotate-ccw
RotateCw	rotate-cw
Save	save
Search	search
Send	send
Settings	settings
Settings2	settings2
Shield	shield
ShieldCheck	shield-check
Sliders	sliders
SlidersHorizontal	sliders-horizontal
Sparkles	sparkles
Star	star
Stethoscope	stethoscope
StickyNote	sticky-note
Strikethrough	strikethrough
Subscript	subscript
Superscript	superscript
Tag	tag
Trash2	trash2
TrendingDown	trending-down
TrendingUp	trending-up
Truck	truck
Underline	underline
Undo2	undo2
Upload	upload
UploadCloud	upload-cloud
User	user
UserCheck	user-check
UserPlus	user-plus
Users	users
Wallet	wallet
X	x
XCircle	x-circle
Zap	zap
